id	parent	name
1	None	BASE
trm_4a3fd79d096be	trm_4a3fd79d0aec1	abductive reasoning
trm_4fe9fb5f6a552	1	absolute threshold
trm_4a3fd79d096e3	trm_4a3fd79d09827	abstract analogy
trm_4a3fd79d096f0	trm_4a3fd79d0a746	abstract knowledge
trm_4a3fd79d096fc	1	acoustic coding
trm_4a3fd79d09707	trm_4a3fd79d0b8e5	acoustic encoding
trm_4a3fd79d09707	trm_4a3fd79d0b8e5	acoustic encoding
trm_4a3fd79d09713	trm_4a3fd79d09ab2	acoustic phonetic processing
trm_4a3fd79d0971e	1	acoustic processing
trm_4a3fd79d09735	1	action
trm_4a3fd79d0b5c0	1	action initiation
trm_5159c00c3dac3	1	action perception
trm_4a3fd79d0b5cb	1	action selection
trm_4a3fd79d09741	1	activation
trm_4a3fd79d0974d	1	activation level
trm_4a3fd79d0ba0d	trm_4a3fd79d0ba30	active maintenance
trm_4a3fd79d0b8b5	1	active recall
trm_4a3fd79d0b8c1	1	active retrieval
trm_4a3fd79d0b98a	1	acuity
trm_4a3fd79d09758	1	adaptation
trm_4a3fd79d09764	1	adaptive control
trm_4fafd1626bf2b	1	addiction
trm_4a3fd79d09770	1	affect perception
trm_4a3fd79d0977b	1	affect recognition
trm_5154b2f947fe9	1	agency
trm_523f5ee64102c	1	agreeableness
trm_4a3fd79d097b4	1	altruism
trm_4a3fd79d097bf	1	altruistic motivation
trm_4a3fd79d097cb	1	alveolar
trm_4a3fd79d097d6	trm_4a3fd79d0a908	amodal representation
trm_4a3fd79d097d6	trm_4a3fd79d0a908	amodal representation
trm_4a3fd79d097e2	1	analog representation
trm_4a3fd79d097ed	trm_4a3fd79d0a7bb	analogical encoding
trm_4a3fd79d097ed	trm_4a3fd79d0b8e5	analogical encoding
trm_4a3fd79d097f9	trm_4a3fd79d0a5ed	analogical inference
trm_4a3fd79d09804	1	analogical problem solving
trm_4a3fd79d09810	trm_4a3fd79d0aec1	analogical reasoning
trm_4a3fd79d0981b	1	analogical transfer
trm_4a3fd79d09827	trm_4a3fd79d0a5ed	analogy
trm_4a3fd79d09833	trm_4a3fd79d09d58	anchoring
trm_52583dceb345e	1	anhedonia
trm_557b471bc6cd8	1	animacy decision
trm_5159beaf80413	1	animacy perception
trm_4a3fd79d0983e	trm_55ce70b20186b	anomaly detection
trm_4a3fd79d09849	1	anticipation
trm_523e024c14df9	1	antisocial personality
trm_5022ef7599294	trm_4a3fd79d0a17f	anxiety
trm_4a3fd79d09855	trm_4a3fd79d0b4b5	apparent motion
trm_4a3fd79d09855	trm_4fb2c38960950	apparent motion
trm_4a3fd79d0986c	1	apperception
trm_52583e083c9ab	1	appetite
trm_4a3fd79d09877	1	appetitive motivation
trm_558c7ae1eaf86	1	arithmetic processing
trm_4a3fd79d09883	1	arousal
trm_4a3fd79d0988f	1	articulation
trm_4a3fd79d0ba19	trm_4a3fd79d0ba60	articulatory loop
trm_4a3fd79d0989a	1	articulatory planning
trm_4a3fd79d098a6	trm_4a3fd79d0ba54	articulatory rehearsal
trm_4a3fd79d098b2	1	assimilation
trm_4a3fd79d098bd	1	association
trm_4a3fd79d098c9	trm_4a3fd79d0a7bb	association learning
trm_5521a5f310604	trm_4e89aebaa311d	associative priming
trm_4a3fd79d098e0	1	attachment
trm_4a3fd79d098eb	1	attended channel
trm_4a3fd79d098f7	1	attended stimulus
trm_4a3fd79d09902	trm_4aae62e4ad209	attention
trm_4a3fd79d0990e	1	attention capacity
trm_4a3fd79d0b5d7	1	attention shift
trm_4a3fd79d0b5fb	1	attention shifting
trm_4a3fd79d0b5e3	1	attention span
trm_510059e54b2cf	1	attentional bias
trm_4fea1aeaa7b17	1	attentional blink
trm_4a3fd79d09919	trm_4a3fd79d0a151	attentional effort
trm_4a3fd79d0b5ef	1	attentional focusing
trm_4a3fd79d09925	trm_4f3a72a028d90	attentional resources
trm_4a3fd79d09930	1	attentional state
trm_4a3fd79d09947	1	attitude
trm_4a3fd79d09953	trm_4a3fd79d0ab7c	audiovisual perception
trm_4a3fd79d0995e	1	audition
trm_55b6b8e291dba	trm_558c7ae1eaf86	auditory arithmetic processing
trm_4a3fd79d09a10	trm_4a3fd79d09902	auditory attention
trm_4a3fd79d09a3d	trm_4a3fd79d0b8e5	auditory coding
trm_4a3fd79d09a49	trm_4a3fd79d0b8e5	auditory encoding
trm_4a3fd79d09a55	trm_4a3fd79d0a33b	auditory feedback
trm_4a3fd79d09a61	1	auditory grouping
trm_4a3fd79d09a6c	1	auditory imagery
trm_4a3fd79d09a78	1	auditory learning
trm_4a3fd79d09a84	1	auditory lexical access
trm_4a3fd79d09a8f	trm_5521a0512df9a	auditory localization
trm_4a3fd79d09a9b	1	auditory masking
trm_4a3fd79d09aa7	trm_4a3fd79d0a891	auditory memory
trm_4a3fd79d09ab2	trm_4a3fd79d0ab7c	auditory perception
trm_55ef687f48a9d	trm_4a3fd79d0b967	auditory recognition
trm_4a3fd79d09abe	1	auditory scene
trm_4a3fd79d09aca	1	auditory scene analysis
trm_4a3fd79d09ad5	trm_4a3fd79d0b892	auditory sentence comprehension
trm_55b6b89222d4c	trm_4a3fd79d0b89e	auditory sentence processing
trm_558c7b14c076e	trm_55b6b8b8e7870	auditory sentence recognition
trm_4a3fd79d09ae1	1	auditory stream segregation
trm_557b474e2b578	trm_5519b80525e89	auditory tone detection
trm_557b476527a27	trm_5519b7525d7a2	auditory tone discrimination
trm_55ef273a77a86	1	auditory tone perception
trm_4a3fd79d09aed	trm_4a3fd79d0b548	auditory word comprehension
trm_4a3fd79d09af8	trm_55ef687f48a9d	auditory word recognition
trm_4a3fd79d09b04	trm_4a3fd79d0b5a7	auditory working memory
trm_4a3fd79d09b10	trm_4a3fd79d0a1f4	autobiographical memory
trm_4a3fd79d09b1c	trm_4a3fd79d0b95b	autobiographical recall
trm_4a3fd79d09b28	1	automaticity
trm_4ff1fc04e22e8	trm_4a3fd79d09e35	autonoesis
trm_4ff1fc04e22e8	trm_4a3fd79d09b4b	autonoesis
trm_4a3fd79d09b33	trm_4a3fd79d09d58	availability heuristic
trm_4a3fd79d09b3f	1	aversive learning
trm_4a3fd79d09b4b	1	awareness
trm_4a3fd79d09b62	1	backward chaining
trm_50eb56a7867db	trm_4a3fd79d0a972	balance
trm_4a3fd79d09b79	trm_4ee8facd77dfc	behavioral inhibition
trm_4b7c270940f9d	1	behavioral inhibition (cognitive)
trm_4b7c27094a093	1	behavioral inhibition (temperament)
trm_4a3fd79d09b85	1	belief
trm_4a3fd79d09b9c	trm_4fea04a02ce37	binocular convergence
trm_4fea04a02ce37	1	binocular depth cue
trm_4a3fd79d09bb3	1	binocular disparity
trm_500d8626d0770	1	binocular rivalry
trm_4a3fd79d09bbf	1	binocular vision
trm_4a3fd79d09bcb	1	bitterness
trm_5029515e29f7f	1	blindsight
trm_557b477b4a15f	trm_4a3fd79d0ba30	body maintenance
trm_4a3fd79d09be2	trm_4a3fd79d0ae3d	body orientation
trm_4e5505361f160	1	body representation
trm_502ab8dd991bf	trm_4a3fd79d0b9ad	border ownership
trm_4a3fd79d09bee	1	capacity limitation
trm_4a3fd79d09bf9	1	case based reasoning
trm_4a3fd79d09c05	1	categorical clustering
trm_4a3fd79d09c11	trm_4a3fd79d0a746	categorical knowledge
trm_4a3fd79d09c1c	1	categorical perception
trm_4a3fd79d09c28	1	categorization
trm_4a3fd79d09c34	1	category based induction
trm_4a3fd79d09c3f	1	category learning
trm_4a3fd79d09c5b	trm_4a3fd79d0a5ed	causal inference
trm_4a3fd79d09c69	1	central attention
trm_4b82c75498408	1	central coherence
trm_4a3fd79d0ba25	1	central executive
trm_4a3fd79d09c74	1	centration
trm_4fea238758d33	trm_4fe3861edc919	change blindness
trm_4a3fd79d09c80	1	chemonociception
trm_4a3fd79d09c97	1	chromatic contrast
trm_4a3fd79d09ca3	1	chunk
trm_4a3fd79d09cae	1	chunking
trm_5159c382bd8d4	1	circadian rhythm
trm_4a3fd79d09d29	1	cognition
trm_4aae62e4ad209	trm_4a3fd79d0a246	cognitive control
trm_4a3fd79d09d35	1	cognitive development
trm_4a3fd79d09d41	1	cognitive dissonance
trm_4a3fd79d09d4d	trm_4a3fd79d0a151	cognitive effort
trm_4a3fd79d09d58	1	cognitive heuristic
trm_4a3fd79d09d64	1	cognitive load
trm_4a3fd79d09d70	1	cognitive map
trm_51a6905a3f021	1	cognitive training
trm_4fea09fac5316	1	color constancy
trm_4a3fd79d09d93	1	color perception
trm_557b478ce1c24	1	color recognition
trm_4a3fd79d09d9e	1	communication
trm_4a3fd79d09daa	1	competition
trm_4a3fd79d0b6b9	1	comprehension
trm_4a3fd79d09db6	1	concept
trm_4a3fd79d09dc1	1	concept learning
trm_4a3fd79d09dcd	trm_4a3fd79d0a723	conceptual category
trm_4a3fd79d09dd9	1	conceptual coherence
trm_4d920c905d465	1	conceptual metaphor
trm_4a3fd79d09de4	1	conceptual planning
trm_5521a2aa5b127	trm_4e89aebaa311d	conceptual priming
trm_4a3fd79d09df0	1	conceptual skill
trm_4a3fd79d09dfc	1	conceptualization
trm_4a3fd79d09e07	trm_4a3fd79d0aec1	conditional reasoning
trm_523e00f356226	1	conduct disorder
trm_500d8839c2877	1	cone of confusion
trm_55ef153d47bc0	trm_558c736199abd	confidence judgment
trm_5358ede949107	1	Conflict adaptation effect
trm_4a3fd79d09e13	trm_55ce70b20186b	conflict detection
trm_4a3fd79d09e1e	trm_4a3fd79d0b4cd	conjunction search
trm_4a3fd79d09e2a	1	connotation
trm_4a3fd79d09e35	1	consciousness
trm_4a3fd79d0b8cd	1	consolidation
trm_4a3fd79d09e58	1	constancy
trm_4a3fd79d09e64	1	constituent structure
trm_4a3fd79d09e6f	1	context
trm_4a3fd79d09e7b	1	context dependent
trm_4a3fd79d09e87	trm_4a3fd79d0a891	context memory
trm_4a3fd79d09e93	1	contextual knowledge
trm_4a3fd79d09e9e	1	contingency learning
trm_4a3fd79d09eaa	1	contrastive stress
trm_4a3fd79d09eb6	1	conventionality
trm_4a3fd79d09ece	1	convergent thinking
trm_4a3fd79d09eda	1	conversation
trm_4a3fd79d09ee6	1	conversational skill
trm_4a3fd79d09ef0	1	conversational speech
trm_4a3fd79d09efb	1	conversational structure
trm_4a3fd79d09f07	1	coordination
trm_4a3fd79d09f12	1	coproduction
trm_4a3fd79d09f1e	1	coreference
trm_4feb3ffa1ab51	trm_4a3fd79d09902	covert attention
trm_4a3fd79d09f2a	1	creative cognition
trm_4a3fd79d09f36	1	creative problem solving
trm_4a3fd79d09f42	1	creative thinking
trm_4a3fd79d09f4d	1	critical period
trm_4e31d2241319f	1	crossmodal
trm_4a3fd79d09f59	1	crosstalk
trm_502c139d5ed78	trm_4a3fd79d0b492	crowding
trm_4a3fd79d09f64	1	crystallized intelligence
trm_4a3fd79d09f70	trm_4a3fd79d0b908	cue dependent forgetting
trm_4a3fd79d09f7c	1	cue validity
trm_4a3fd79d09f87	1	cueing
trm_4f3bdeedcc99d	1	curiosity
trm_4a3fd79d0a006	1	dative shift
trm_4a3fd79d0a021	1	decay of activation
trm_4a3fd79d0a02c	1	deception
trm_4a3fd79d0b61f	1	decision
trm_557b47abe9a34	1	decision certainty
trm_4a3fd79d0a038	1	decision making
trm_4a3fd79d0a044	trm_4a3fd79d0a746	declarative knowledge
trm_4a3fd79d0a04f	trm_4a3fd79d0a044	declarative memory
trm_4a3fd79d0a04f	trm_4a3fd79d0a891	declarative memory
trm_4a3fd79d0a04f	trm_4a3fd79d0a908	declarative memory
trm_4a3fd79d0a05b	trm_4a3fd79d0a044	declarative rule
trm_4a3fd79d0a066	trm_4a3fd79d0a5ed	deductive inference
trm_4a3fd79d0a072	trm_4a3fd79d0aec1	deductive reasoning
trm_4a3fd79d0a07e	1	deep processing
trm_4a3fd79d0a08a	1	deep structure
trm_5159c18bc2e34	1	default mode network
trm_5159c885a7314	1	defensive aggression
trm_523e034f9e69a	1	defiance
trm_4fa28299dbddd	1	deliberation
trm_4fa3afaeef512	1	delusion
trm_4a3fd79d0a095	1	depth cue
trm_4a3fd79d0a0a1	1	depth perception
trm_4a3fd79d0a0ad	1	desire
trm_55ce70b20186b	1	detection
trm_4fe9fae4321e7	1	difference threshold
trm_4a3fd79d0a0dc	1	diphthong
trm_4a3fd79d0b6c5	1	discourse
trm_4a3fd79d0b6d1	trm_4a3fd79d0b6b9	discourse comprehension
trm_4a3fd79d0b6dd	trm_4a3fd79d0a746	discourse knowledge
trm_4a3fd79d0b6e9	trm_4a3fd79d0acc1	discourse planning
trm_4a3fd79d0b6f5	1	discourse processing
trm_4a3fd79d0b701	1	discourse production
trm_5519b7525d7a2	1	discrimination
trm_4a3fd79d0a0e7	1	dispositions
trm_4a3fd79d0a0f3	1	distraction
trm_4a3fd79d0a0ff	1	distributed coding
trm_4a3fd79d0a10a	1	divergent thinking
trm_4a3fd79d0a116	trm_4a3fd79d09902	divided attention
trm_5021684cba96c	1	domain specificity
trm_4a3fd79d0a12d	1	dream
trm_55e1b08e5b06c	1	Dyslexia
trm_525d8b8908809	1	eating
trm_4b185801de7a1	trm_4a3fd79d09aa7	echoic memory
trm_4a3fd79d0b996	1	echolocation
trm_557b4817db34d	trm_558c736199abd	economic value processing
trm_4a3fd79d0b9a1	trm_4a3fd79d0b9ad	edge detection
trm_4a3fd79d0a145	1	efficiency
trm_4a3fd79d0a151	1	effort
trm_5159c971bf444	1	effort valuation
trm_4a3fd79d0a15c	trm_4a3fd79d0a7bb	effortful processing
trm_4a3fd79d0a168	1	egocentric
trm_4a3fd79d0a173	1	elaborative processing
trm_4a3fd79d0b8d9	1	elaborative rehearsal
trm_4f33e65d0daac	1	embodied cognition
trm_4a3fd79d0a17f	1	emotion
trm_4a3fd79d0b65a	1	emotion perception
trm_4a3fd79d0b665	1	emotion recognition
trm_51a690a7492eb	trm_4a3fd79d0a246	emotion regulation
trm_51a690a7492eb	trm_4ee8facd77dfc	emotion regulation
trm_4a3fd79d0b671	1	emotional bonding
trm_4a3fd79d0a18b	trm_4a3fd79d0a038	emotional decision making
trm_4a3fd79d0a196	1	emotional expression
trm_557b482a7c62b	trm_557b4b154e0d9	emotional face recognition
trm_4a3fd79d0a1a2	1	emotional intelligence
trm_4a3fd79d0a1ae	trm_4a3fd79d0a891	emotional memory
trm_4a3fd79d0a1b9	1	emotional mimicry
trm_557b4844ca14d	trm_51a690a7492eb	emotional reappraisal
trm_557b4855a12b4	1	emotional self-evaluation
trm_4a3fd79d0a1d1	trm_4a3fd79d0af66	emotional suppression
trm_4a3fd79d0a1d1	trm_557b4844ca14d	emotional suppression
trm_4a3fd79d0b67d	1	empathy
trm_4a3fd79d0b8e5	trm_4a3fd79d0a7bb	encoding
trm_4a3fd79d0b8f0	1	episodic buffer
trm_4a3fd79d0a1e8	1	episodic learning
trm_4a3fd79d0a1f4	trm_4a3fd79d0a04f	episodic memory
trm_4a3fd79d0a20c	trm_4a3fd79d0ac30	error detection
trm_4a3fd79d0a218	1	error signal
trm_4a3fd79d0a223	1	error trapping
trm_4a3fd79d0a22f	1	excitation
trm_4a3fd79d0a246	1	executive control
trm_4a3fd79d0a252	1	executive function
trm_4ebfe9a465449	1	expectancy
trm_4a3fd79d0a25e	1	expertise
trm_4a3fd79d0a269	trm_4a3fd79d0a746	explicit knowledge
trm_4a3fd79d0a275	trm_4a3fd79d0a7bb	explicit learning
trm_4a3fd79d0a281	trm_4a3fd79d0a04f	explicit memory
trm_523ca883711cc	1	externalizing
trm_4fe8edc62f613	trm_4a3fd79d0a7bb	extinction
trm_4fe8edc62f613	trm_4a3fd79d09e87	extinction
trm_4a3fd79d0a28c	1	extrinsic motivation
trm_55c6f87595b39	trm_4a3fd79d0ba30	face maintenance
trm_4a3fd79d0a300	1	face perception
trm_4a3fd79d0a30c	trm_4a3fd79d0b967	face recognition
trm_4a3fd79d0a30c	trm_4a3fd79d0b4a9	face recognition
trm_5595bd6c61d78	trm_5595bde6b2e95	facial age recognition
trm_5595bd89d77c6	trm_5595bde6b2e95	facial attractiveness recognition
trm_4a3fd79d0a318	1	facial expression
trm_5595bd2b92003	trm_5595bde6b2e95	facial happiness recognition
trm_5595bd2b92003	trm_4a3fd79d0b665	facial happiness recognition
trm_5595bde6b2e95	trm_4a3fd79d0b967	facial recognition
trm_5595bda0c5dc3	trm_5595bde6b2e95	facial trustworthiness recognition
trm_5595bda0c5dc3	trm_5595be14a57c5	facial trustworthiness recognition
trm_4a3fd79d0a323	1	false memory
trm_4a3fd79d0b8fc	1	familiarity
trm_52583e52d5e7a	1	fatigue
trm_4a3fd79d0b689	1	fear
trm_557b4891e9265	1	feature comparison
trm_4a3fd79d0b9ad	trm_55ce70b20186b	feature detection
trm_4a3fd79d0a32f	1	feature extraction
trm_502954662d63e	1	feature integration
trm_4fea18ec76bc9	trm_4a3fd79d0b4cd	feature search
trm_5524572b66764	1	feature-based attention
trm_4a3fd79d0a33b	1	feedback
trm_4a3fd79d0b9d1	1	figure ground reversal
trm_4a3fd79d0b9dd	1	figure ground segregation
trm_4a3fd79d0a352	1	filtering
trm_4a3fd79d0a35e	1	fixation
trm_4a3fd79d0a36a	1	fixed action patterns
trm_551f0d8c69a13	trm_4c3e05903e4bb	Flexible Updating
trm_4a3fd79d0a375	1	fluid intelligence
trm_4a3fd79d0a381	1	focus
trm_4a3fd79d0a38d	1	focused attention
trm_4a3fd79d0b908	1	forgetting
trm_4a3fd79d0a398	1	form perception
trm_4a3fd79d0b636	1	framing
trm_4a3fd79d0b695	1	frustration
trm_4a3fd79d0a3a4	1	functional fixedness
trm_4a3fd79d0a3d2	trm_4a3fd79d0a35e	gaze
trm_4a3fd79d0a3ea	trm_4a3fd79d0a5ed	generalization
trm_4a3fd79d0a3f6	1	generic knowledge
trm_4a3fd79d0a402	1	gestalt
trm_4fb3f4d58aeb0	1	Gestalt grouping
trm_5021873f37abc	1	global precedence
trm_4a3fd79d0a419	1	goal
trm_4a3fd79d0a425	1	goal formation
trm_4a3fd79d0a431	trm_4a3fd79d0ba30	goal maintenance
trm_4a3fd79d0a43c	1	goal management
trm_5519b5f181edd	trm_4aae62e4ad209	goal selection
trm_4a3fd79d0a448	1	goal state
trm_4a3fd79d0b756	trm_4a3fd79d0b8e5	grammatical encoding
trm_4a3fd79d0b76e	1	grapheme
trm_4a3fd79d0b779	1	graphemic buffer
trm_4a3fd79d0b6a1	1	grief
trm_52583d9f2ad98	1	guilt
trm_4a3fd79d0b9e9	1	gustation
trm_4a3fd79d0a460	trm_4a3fd79d0a7bb	gustatory learning
trm_4a3fd79d0a46b	1	gustatory memory
trm_4a3fd79d0a477	1	gustatory perception
trm_4a3fd79d0a483	1	habit
trm_4a3fd79d0a48e	1	habit learning
trm_4a3fd79d0a49a	1	habit memory
trm_4a3fd79d0a4a6	1	hallucination
trm_4a3fd79d0b6ad	1	happiness
trm_4a3fd79d0a4b2	1	hedonism
trm_4a3fd79d0a4be	1	heuristic search
trm_55c298bbe56d5	trm_4a3fd79d0aab0	high energy density food recognition
trm_4a3fd79d0a4c9	1	hill climbing
trm_4a3fd79d0a4e1	1	humiliation
trm_4a3fd79d0a4ed	1	humor
trm_523c7c13bc55f	1	hyperactivity
trm_4a3fd79d0a4f9	trm_4a3fd79d0b49e	iconic memory
trm_4a3fd79d0b7b5	1	illocutionary force
trm_4a3fd79d0a504	1	imageability
trm_4a3fd79d0a510	1	imagery
trm_4f4511e519b53	trm_4a3fd79d0a908	imagination
trm_4f4511e519b53	trm_4a3fd79d0a8fc	imagination
trm_4a3fd79d0a51c	trm_4a3fd79d0a746	implicit knowledge
trm_4a3fd79d0a533	trm_4a3fd79d0a891	implicit memory
trm_4a3fd79d0a53f	1	imprinting
trm_50070dce14554	1	impulsivity
trm_523c7c886b614	1	Inappropriate speech
trm_4a3fd79d0a54b	1	inattention
trm_4fe3861edc919	trm_4a3fd79d0a54b	inattentional blindness
trm_4a3fd79d0a556	trm_4a3fd79d0a7bb	incidental learning
trm_4a3fd79d0a562	1	incubation
trm_4a3fd79d0a56e	1	indignation
trm_4a3fd79d0a579	1	induction
trm_4a3fd79d0a590	trm_4a3fd79d0aec1	inductive reasoning
trm_4a3fd79d0a590	trm_4a3fd79d0a5ed	inductive reasoning
trm_4a3fd79d0a5ed	1	inference
trm_4a3fd79d0a613	1	inhibition
trm_4a3fd79d0a61f	1	inhibition of return
trm_4a3fd79d0a62b	1	insight
trm_4a3fd79d0a637	1	instinct
trm_4a3fd79d0a642	1	instrumental conditioning
trm_4a3fd79d0a64e	1	instrumental learning
trm_4a3fd79d0a65a	1	integration
trm_4a3fd79d0a666	1	intelligence
trm_4a3fd79d0a67d	1	intention
trm_4a3fd79d0a689	trm_4a3fd79d0b908	intentional forgetting
trm_4a3fd79d0a695	trm_4a3fd79d0a7bb	intentional learning
trm_4a3fd79d0a6a1	1	intentionality
trm_4a3fd79d0a6ad	1	interference
trm_551f11bb8f6a8	1	Interference Control
trm_4c3e04d656f06	1	interference resolution
trm_4a3fd79d0a6b9	trm_4a3fd79d0a891	intermediate term memory
trm_4a3fd79d0a6c5	1	internal speech
trm_523ca7e778c50	1	internalizing
trm_4fe39e4388409	trm_4a3fd79d0b160	interoception
trm_4e5506161998c	trm_4e5505361f160	interoceptive representation
trm_4a3fd79d0a6d0	1	interrogative
trm_558c73324a6ca	1	intertemporal choice
trm_4a3fd79d0a6dc	1	intonation
trm_4a3fd79d0a6e8	1	intrinsic motivation
trm_4a3fd79d0a6f4	1	introspection
trm_4a3fd79d0a700	1	involuntary attention
trm_4a3fd79d0a70b	1	irony
trm_523c7afe39f78	1	irritability
trm_4b75ed06c917d	1	joint attention
trm_4a3fd79d0a723	1	judgment
trm_4a3fd79d0a72e	trm_4e5505361f160	kinaesthetic representation
trm_5521a6bc4db33	trm_4e89aebaa311d	kindness priming
trm_5521a6bc4db33	trm_5521a3da10349	kindness priming
trm_4a3fd79d0a73a	trm_4a3fd79d0b160	kinesthesia
trm_4a3fd79d0a746	1	knowledge
trm_4a3fd79d0a769	1	language
trm_4a3fd79d0b7f4	1	language acquisition
trm_4a3fd79d0a775	1	language comprehension
trm_4a3fd79d0a781	trm_4a3fd79d0a7bb	language learning
trm_4a3fd79d0b802	1	language processing
trm_4a3fd79d0a78d	1	language production
trm_502bdc6bdaa2b	trm_4a3fd79d0b492	lateral masking
trm_4a3fd79d0a7bb	1	learning
trm_55b6b92c1fd76	trm_557b48bda071b	left finger response execution
trm_558c7b707f606	trm_557b48bda071b	left hand response execution
trm_55b6b96e77df6	trm_557b48bda071b	left toe response execution
trm_4a3fd79d0a7c7	1	lemma
trm_523c7ba79c2f1	1	lethargy
trm_502c343d20523	1	lexeme
trm_4a3fd79d0b80f	1	lexical access
trm_4a3fd79d0b81b	1	lexical ambiguity
trm_4a3fd79d0a7d4	trm_4a3fd79d0b8e5	lexical encoding
trm_4a3fd79d0b826	1	lexical processing
trm_4a3fd79d0a7e0	trm_4a3fd79d0af94	lexical retrieval
trm_4a3fd79d0a7ec	1	lexicon
trm_50f3c0af04e37	1	life satisfaction
trm_551f0f822d95e	1	Limited Capacity
trm_4a3fd79d0a7f8	1	linguistic competence
trm_4a3fd79d0a803	trm_4a3fd79d09a10	listening
trm_5521a0512df9a	1	localization
trm_50eb692db57eb	trm_4a3fd79d0a972	Locomotion
trm_4a3fd79d0a80f	1	logic
trm_4a3fd79d0a81b	trm_4a3fd79d0aec1	logical reasoning
trm_529d0d62290de	1	loneliness
trm_4a3fd79d0a833	trm_4a3fd79d0a891	long term memory
trm_5159c80c1dd24	1	loss
trm_557b48a224b95	trm_4a3fd79d09849	loss anticipation
trm_4a3fd79d0a83f	1	loss aversion
trm_4a3fd79d0a84a	1	lying
trm_4a3fd79d0ba30	1	maintenance
trm_4a3fd79d0ba3c	1	manipulation
trm_4a3fd79d0a862	trm_4a3fd79d0aec1	mathematical reasoning
trm_4a3fd79d0a86e	1	meaning
trm_4a3fd79d0a87a	trm_4a3fd79d0aec1	mechanical reasoning
trm_4a3fd79d0a886	1	melody
trm_4a3fd79d0a891	1	memory
trm_4a3fd79d0b914	1	memory acquisition
trm_4a3fd79d0b920	trm_4a3fd79d0b8cd	memory consolidation
